episode,steps,rewards,done
1,200,-299,0
2,200,-293,0
3,200,-291,0
4,200,-299,0
5,200,-299,0
6,200,-295,0
7,200,-294,0
8,200,-282,0
9,200,-300,0
10,200,-280,0
11,200,-279,0
12,200,-291,0
13,200,-303,0
14,200,-299,0
15,200,-298,0
16,200,-292,0
17,200,-298,0
18,200,-303,0
19,200,-297,0
20,200,-290,0
21,1,99,1
22,200,-300,0
23,200,-291,0
24,200,-299,0
25,1,99,1
26,4,94,1
27,170,-158,1
28,200,-309,0
29,200,-295,0
30,153,-130,1
31,1,99,1
32,200,-298,0
33,147,-116,1
34,200,-300,0
35,200,-300,0
36,64,9,1
37,200,-306,0
38,200,-299,0
39,200,-293,0
40,200,-300,0
41,1,99,1
42,200,-308,0
43,176,-154,1
44,1,99,1
45,200,-300,0
46,2,98,1
47,5,93,1
48,200,-299,0
49,200,-306,0
50,200,-300,0
51,200,-304,0
52,69,0,1
53,13,82,1
54,1,98,1
55,4,94,1
56,192,-187,1
57,200,-301,0
58,200,-298,0
59,200,-303,0
60,200,-289,0
61,200,-295,0
62,104,-52,1
63,1,99,1
64,1,98,1
65,3,96,1
66,1,99,1
67,39,41,1
68,142,-111,1
69,58,16,1
70,9,87,1
71,200,-301,0
72,37,44,1
73,200,-301,0
74,200,-293,0
75,200,-309,0
76,200,-296,0
77,2,98,1
78,80,-16,1
79,200,-303,0
80,8,89,1
81,200,-306,0
82,200,-293,0
83,5,93,1
84,200,-306,0
85,3,97,1
86,200,-293,0
87,5,95,1
88,200,-299,0
89,19,73,1
90,200,-292,0
91,1,99,1
92,40,40,1
93,200,-304,0
94,48,33,1
95,200,-305,0
96,200,-300,0
97,200,-303,0
98,200,-303,0
99,71,-2,1
100,200,-295,0
101,1,99,1
102,1,98,1
103,200,-301,0
104,83,-20,1
105,1,99,1
106,14,82,1
107,63,8,1
108,200,-305,0
109,200,-313,0
110,200,-303,0
111,200,-299,0
112,19,74,1
113,200,-292,0
114,25,66,1
115,57,18,1
116,21,70,1
117,200,-301,0
118,28,61,1
119,183,-171,1
120,200,-299,0
121,200,-296,0
122,143,-111,1
123,199,-202,1
124,14,79,1
125,200,-295,0
126,200,-294,0
127,200,-309,0
128,200,-295,0
129,200,-291,0
130,200,-298,0
131,16,78,1
132,1,99,1
133,136,-103,1
134,5,94,1
135,200,-302,0
136,2,98,1
137,200,-299,0
138,200,-304,0
139,200,-300,0
140,106,-56,1
141,200,-297,0
142,200,-296,0
143,200,-298,0
144,200,-294,0
145,200,-293,0
146,200,-300,0
147,200,-306,0
148,200,-298,0
149,200,-292,0
150,200,-302,0
151,200,-303,0
152,200,-298,0
153,200,-306,0
154,200,-297,0
155,200,-306,0
156,109,-61,1
157,2,98,1
158,27,61,1
159,196,-191,1
160,200,-297,0
161,1,99,1
162,200,-305,0
163,200,-298,0
164,200,-300,0
165,138,-96,1
166,200,-297,0
167,132,-91,1
168,70,-4,1
169,4,94,1
170,119,-76,1
171,1,98,1
172,93,-39,1
173,200,-298,0
174,1,99,1
175,187,-178,1
176,200,-301,0
177,40,45,1
178,19,72,1
179,200,-301,0
180,200,-303,0
181,115,-69,1
182,200,-295,0
183,200,-301,0
184,185,-167,1
185,125,-88,1
186,53,21,1
187,200,-298,0
188,177,-169,1
189,1,99,1
190,200,-304,0
191,148,-124,1
192,200,-304,0
193,1,99,1
194,200,-292,0
195,200,-307,0
196,98,-43,1
197,200,-299,0
198,85,-21,1
199,1,98,1
200,10,86,1
201,27,60,1
202,21,71,1
203,101,-49,1
204,29,62,1
205,1,98,1
206,200,-302,0
207,200,-298,0
208,1,99,1
209,200,-310,0
210,125,-82,1
211,1,98,1
212,200,-306,0
213,200,-295,0
214,30,59,1
215,15,79,1
216,200,-298,0
217,41,40,1
218,200,-314,0
219,200,-291,0
220,200,-298,0
221,200,-299,0
222,86,-20,1
223,4,94,1
224,76,-12,1
225,200,-295,0
226,1,99,1
227,200,-300,0
228,200,-308,0
229,200,-305,0
230,114,-62,1
231,200,-305,0
232,200,-293,0
233,131,-91,1
234,4,95,1
235,136,-98,1
236,181,-168,1
237,1,99,1
238,200,-301,0
239,104,-55,1
240,49,26,1
241,200,-310,0
242,200,-293,0
243,200,-297,0
244,200,-304,0
245,117,-72,1
246,52,23,1
247,6,91,1
248,1,99,1
249,1,98,1
250,200,-301,0
251,7,90,1
252,200,-304,0
253,96,-40,1
254,28,61,1
255,122,-75,1
256,121,-74,1
257,1,98,1
258,8,89,1
259,146,-113,1
260,2,97,1
261,90,-27,1
262,193,-182,1
263,58,17,1
264,200,-309,0
265,200,-299,0
266,141,-103,1
267,200,-310,0
268,200,-295,0
269,200,-290,0
270,59,14,1
271,200,-309,0
272,112,-68,1
273,200,-306,0
274,137,-93,1
275,1,98,1
276,154,-127,1
277,31,55,1
278,55,18,1
279,200,-307,0
280,200,-296,0
281,62,14,1
282,26,63,1
283,143,-106,1
284,42,40,1
285,1,98,1
286,4,95,1
287,6,92,1
288,1,99,1
289,200,-305,0
290,10,88,1
291,169,-152,1
292,1,98,1
293,44,37,1
294,200,-300,0
295,7,91,1
296,200,-304,0
297,200,-295,0
298,20,73,1
299,200,-299,0
300,25,64,1
301,3,96,1
302,4,95,1
303,3,96,1
304,4,95,1
305,74,-6,1
306,163,-140,1
307,19,74,1
308,2,98,1
309,200,-310,0
310,200,-298,0
311,19,73,1
312,179,-165,1
313,2,97,1
314,2,97,1
315,14,80,1
316,1,99,1
317,1,99,1
318,2,97,1
319,1,98,1
320,140,-106,1
321,71,-5,1
322,73,-3,1
323,200,-308,0
324,1,99,1
325,105,-53,1
326,8,89,1
327,2,97,1
328,6,92,1
329,6,92,1
330,146,-113,1
331,1,98,1
332,200,-299,0
333,77,-15,1
334,5,93,1
335,111,-67,1
336,4,95,1
337,3,96,1
338,76,-17,1
339,63,8,1
340,200,-303,0
341,200,-290,0
342,200,-298,0
343,2,98,1
344,1,99,1
345,200,-300,0
346,94,-41,1
347,97,-46,1
348,103,-46,1
349,118,-72,1
350,53,24,1
351,2,97,1
352,126,-91,1
353,11,84,1
354,200,-303,0
355,37,45,1
356,16,77,1
357,171,-154,1
358,24,64,1
359,64,8,1
360,1,98,1
361,200,-303,0
362,128,-85,1
363,26,63,1
364,42,43,1
365,167,-151,1
366,62,12,1
367,45,33,1
368,200,-310,0
369,19,74,1
370,172,-155,1
371,32,56,1
372,44,34,1
373,2,98,1
374,32,53,1
375,8,89,1
376,94,-38,1
377,82,-20,1
378,12,82,1
379,81,-21,1
380,200,-297,0
381,1,99,1
382,3,96,1
383,4,95,1
384,157,-137,1
385,75,-15,1
386,60,8,1
387,200,-293,0
388,63,10,1
389,118,-74,1
390,3,96,1
391,42,41,1
392,1,99,1
393,9,89,1
394,62,9,1
395,90,-31,1
396,44,33,1
